ECCode      rmrID bondType  weight 
1.1.1.291   27103 C-O*C=O   1      
1.1.1.292   27309 C-O*C=O   1      
1.1.1.294   28002 C-O*C=O   1      
1.1.1.294   28003 C-O*C=O   1      
1.1.1.294   28121 C-O*C=O   1      
1.1.1.294   28122 C-O*C=O   1      
1.1.1.295   28004 C-O*C=O   1      
1.1.1.295   28005 C-O*C=O   1      
1.1.1.296   25573 C-O*C=O   1      
1.1.1.296   25574 C-O*C=O   1      
1.1.1.296   25575 C-O*C=O   1      
1.1.1.296   25576 C-O*C=O   1      
1.1.1.296   25579 C-O*C=O   1      
1.1.1.296   25580 C-O*C=O   1      
1.1.1.296   25581 C-O*C=O   1      
1.1.1.296   25582 C-O*C=O   1      
1.1.1.296   28006 C-O*C=O   1      
1.1.1.297   25596 C-O*C=O   1      
1.1.1.297   28007 C-O*C=O   1      
1.1.1.297   28438 C-O*C=O   1      
1.1.1.298   28340 C-O*C=O   1      
1.1.1.3     21518 C-O*C=O   1      
1.1.1.3     21519 C-O*C=O   1      
1.1.1.30    21177 C-O*C=O   1      
1.1.1.303   22451 C-O*C=O   1      
1.1.1.304   28130 C-O*C=O   1      
1.1.1.305   26778 C-O*C=O   2      
1.1.1.306   28180 C-O*C=O   1      
1.1.1.31    21744 C-O*C=O   1      
1.1.1.31    24347 C-O*C=O   1      
1.1.1.312   23698 C-O*C=O   1      
1.1.1.312   23699 C-O*C=O   1      
1.1.1.34    21769 C-O*C=O   1      
1.1.1.35    21522 C-O*C=O   1      
1.1.1.35    21685 C-O*C=O   1      
1.1.1.35    23637 C-O*C=O   1      
1.1.1.35    24090 C-O*C=O   1      
1.1.1.35    24092 C-O*C=O   1      
1.1.1.35    24094 C-O*C=O   1      
1.1.1.35    24096 C-O*C=O   1      
1.1.1.35    24098 C-O*C=O   1      
1.1.1.35    24101 C-O*C=O   1      
1.1.1.35    24150 C-O*C=O   1      
1.1.1.35    24152 C-O*C=O   1      
1.1.1.35    24347 C-O*C=O   1      
1.1.1.35    24803 C-O*C=O   1      
1.1.1.35    27008 C-O*C=O   1      
1.1.1.35    27012 C-O*C=O   1      
1.1.1.35    27016 C-O*C=O   1      
1.1.1.35    27210 C-O*C=O   1      
1.1.1.36    21523 C-O*C=O   1      
1.1.1.36    21687 C-O*C=O   1      
1.1.1.37    20291 C-O*C=O   1      
1.1.1.38    20181 C-O*C=O   2      
1.1.1.38    20184 C-O*C=O   1      
1.1.1.39    20181 C-O*C=O   2      
1.1.1.4     22533 C-O*C=O   1      
1.1.1.40    20183 C-O*C=O   2      
1.1.1.40    20184 C-O*C=O   1      
1.1.1.41    20610 C-O*C=O   2      
1.1.1.42    20221 C-O*C=O   2      
1.1.1.42    20222 C-O*C=O   1      
1.1.1.42    21621 C-O*C=O   1      
1.1.1.43    21734 C-O*C=O   1      
1.1.1.43    21735 C-O*C=O   1      
1.1.1.44    21321 C-O*C=O   2      
1.1.1.45    22264 C-O*C=O   1      
1.1.1.46    21504 C-O*C=O   1      
1.1.1.47    21314 C-O*C=O   1      
1.1.1.47    21315 C-O*C=O   1      
1.1.1.48    20941 C-O*C=O   1      
1.1.1.48    20943 C-O*C=O   1      
1.1.1.48    20944 C-O*C=O   1      
1.1.1.48    27654 C-O*C=O   1      
1.1.1.49    20715 C-O*C=O   1      
1.1.1.49    22350 C-O*C=O   1      
1.1.1.50    22121 C-O*C=O   1      
1.1.1.50    22122 C-O*C=O   1      
1.1.1.50    23721 C-O*C=O   1      
1.1.1.50    23722 C-O*C=O   1      
1.1.1.50    24155 C-O*C=O   1      
1.1.1.50    24156 C-O*C=O   1      
1.1.1.50    24158 C-O*C=O   1      
1.1.1.50    24159 C-O*C=O   1      
1.1.1.50    24162 C-O*C=O   1      
1.1.1.50    24163 C-O*C=O   1      
1.1.1.50    24165 C-O*C=O   1      
1.1.1.50    24166 C-O*C=O   1      
1.1.1.50    24168 C-O*C=O   1      
1.1.1.50    24169 C-O*C=O   1      
1.1.1.50    24170 C-O*C=O   1      
1.1.1.50    24171 C-O*C=O   1      
1.1.1.50    24173 C-O*C=O   1      
1.1.1.50    24174 C-O*C=O   1      
1.1.1.50    24176 C-O*C=O   1      
1.1.1.50    24177 C-O*C=O   1      
1.1.1.50    28049 C-O*C=O   1      
1.1.1.51    21570 C-O*C=O   1      
1.1.1.51    21572 C-O*C=O   1      
1.1.1.51    22010 C-O*C=O   1      
1.1.1.51    22011 C-O*C=O   1      
1.1.1.51    22936 C-O*C=O   1      
1.1.1.51    22937 C-O*C=O   1      
1.1.1.52    23578 C-O*C=O   1      
1.1.1.53    23740 C-O*C=O   1      
1.1.1.53    24164 C-O*C=O   1      
1.1.1.53    24167 C-O*C=O   1      
1.1.1.53    24175 C-O*C=O   1      
1.1.1.53    24178 C-O*C=O   1      
1.1.1.54    23080 C-O*C=O   1      
1.1.1.55    21929 C-O*C=O   1      
